"","signature","padj","comparison","method","ln_padj"
"1","serum_AD_v_healthy_BSL",0.000444097998861121,"advh","LEANR+ORA",7.71946530173104
"2","serum_AD_v_healthy_BSL",9.82027294844043e-06,"advh","LEANR+ORA",11.5310616408273
"3","serum_AD_v_healthy_BSL",3.35887457519102e-13,"advh","LEANR+ORA",28.7220002389149
"4","serum_AD_v_healthy_BSL",2.25244348169092e-13,"advh","LEANR+ORA",29.1215905901062
"5","serum_AD_v_healthy_BSL",6.08523709259909e-11,"advh","LEANR+ORA",23.5225703338031
"6","serum_AD_v_healthy_BSL",9.13212732077655e-11,"advh","LEANR+ORA",23.1166373520978
"7","serum_AD_v_healthy_BSL",7.88617436908617e-05,"advh","LEANR+ORA",9.44781431853858
"8","serum_AD_v_healthy_BSL",1.31728534552801e-07,"advh","LEANR+ORA",15.8425225883942
"9","serum_AD_v_healthy_BSL",0.000101096348004457,"advh","LEANR+ORA",9.19943655519704
"10","serum_AD_v_healthy_BSL",0.00407653852747321,"advh","LEANR+ORA",5.50250705079026
"11","serum_AD_v_healthy_BSL",5.39325628315301e-13,"advh","LEANR+ORA",28.2484568722516
"12","serum_AD_v_healthy_BSL",5.27082076850061e-09,"advh","LEANR+ORA",19.0610797429714
"13","serum_AD_v_healthy_BSL",0.000131693920950917,"advh","LEANR+ORA",8.93503010858775
"14","serum_AD_v_healthy_BSL",7.51851368659602e-12,"advh","LEANR+ORA",25.6136526455608
"15","serum_AD_v_healthy_BSL",2.51714367665628e-05,"advh","LEANR+ORA",10.5898006679447
"16","serum_AD_v_healthy_BSL",3.98381598870141e-14,"advh","LEANR+ORA",30.8539511508359
"17","serum_AD_v_healthy_BSL",0.000117186252908208,"advh","LEANR+ORA",9.05174598370613
"18","serum_AD_v_healthy_BSL",1.34376027166354e-07,"advh","LEANR+ORA",15.822623794065
"19","serum_AD_v_healthy_BSL",1.20951332820631e-13,"advh","LEANR+ORA",29.7433881383153
"20","serum_AD_v_healthy_BSL",9.11432827359526e-08,"advh","LEANR+ORA",16.2108330331511
"21","serum_AD_v_healthy_BSL",7.52399948685578e-11,"advh","LEANR+ORA",23.3103381796967
"22","serum_AD_v_healthy_BSL",1.94723116700485e-05,"advh","LEANR+ORA",10.8465170157847
"23","serum_AD_v_healthy_BSL",9.01379443246639e-09,"advh","LEANR+ORA",18.5245097183001
"24","serum_AD_v_healthy_BSL",1.71182311218942e-14,"advh","LEANR+ORA",31.6986323518545
"25","serum_AD_v_healthy_BSL",0.000721305050228375,"advh","LEANR+ORA",7.2344484169148
"26","serum_AD_v_healthy_BSL",9.11581628754519e-09,"advh","LEANR+ORA",18.5132548785145
"27","serum_AD_v_healthy_BSL",9.09380051555116e-08,"advh","LEANR+ORA",16.2130878246213
"28","serum_AD_v_healthy_BSL",3.13973603986467e-08,"advh","LEANR+ORA",17.2765420113031
"29","serum_AD_v_healthy_BSL",1.8882985349508e-14,"advh","LEANR+ORA",31.6005151243677
"30","serum_AD_v_healthy_BSL",5.11913926779411e-13,"advh","LEANR+ORA",28.3006198957625
"31","serum_AD_v_healthy_BSL",4.08921891318067e-13,"advh","LEANR+ORA",28.5252522318783
"32","serum_AD_v_healthy_BSL",1.14881440024144e-12,"advh","LEANR+ORA",27.4922906616662
"33","serum_AD_v_healthy_BSL",1.84262742440797e-12,"advh","LEANR+ORA",27.0198286148081
"34","serum_AD_v_healthy_BSL",3.98624546119276e-08,"advh","LEANR+ORA",17.0378309432267
"35","serum_AD_v_healthy_BSL",1.20951332820631e-13,"advh","LEANR+ORA",29.7433881383153
"36","serum_AD_v_healthy_BSL",1.76568131043434e-10,"advh","LEANR+ORA",22.457314302461
"37","serum_AD_v_healthy_BSL",1.38873947369766e-10,"advh","LEANR+ORA",22.6974544476931
"38","serum_AD_v_healthy_BSL",5.69645703427252e-05,"advh","LEANR+ORA",9.77308105632091
"39","serum_AD_v_healthy_BSL",0.000181961843384329,"advh","LEANR+ORA",8.61171354460193
"40","serum_AD_v_healthy_BSL",5.54262823144523e-11,"advh","LEANR+ORA",23.615967224664
"41","serum_AD_v_healthy_BSL",2.01806410410534e-08,"advh","LEANR+ORA",17.7185420563682
"42","serum_AD_v_healthy_BSL",4.17533952846986e-14,"advh","LEANR+ORA",30.8069956227361
