"","Ensembl_ID","baseMean","log2FoldChange","lfcSE","pvalue","padj","gene_symbol","STRING_id","source"
"1","ENSG00000112759",3058,1.5951,0.1491,6.49e-28,1.78e-23,"SLC29A1","9606.ENSP00000377424","Ensembl_gene"
"2","ENSG00000103056",2528,1.6116,0.1528,3.46e-27,3.16e-23,"SMPD3","9606.ENSP00000219334","Ensembl_gene"
"3","ENSG00000157368",115,1.9306,0.1837,2.98e-27,3.16e-23,"IL34","9606.ENSP00000397863","Ensembl_gene"
"4","ENSG00000274736",194,2.4833,0.2424,5.19e-26,3.56e-22,"CCL23","9606.ENSP00000481357","Ensembl_gene"
"5","ENSG00000162390",222,1.144,0.1155,1.73e-24,7.92e-21,"ACOT11","9606.ENSP00000360366","Ensembl_gene"
"6","ENSG00000276231",2352,1.1896,0.1186,1.47e-24,7.92e-21,"PIK3R6","9606.ENSP00000480157","Ensembl_gene"
"7","ENSG00000091181",1648,1.6454,0.1685,6.84e-24,2.68e-20,"IL5RA","9606.ENSP00000412209","Ensembl_gene"
"8","ENSG00000105366",1177,1.8293,0.19,2.56e-23,8.76e-20,"SIGLEC8","9606.ENSP00000321077","Ensembl_gene"
"9","ENSG00000205927",392,1.8552,0.1933,3.66e-23,1.12e-19,"OLIG2","9606.ENSP00000331040","Ensembl_gene"
"10","ENSG00000184221",1542,1.1467,0.1209,1.65e-22,4.52e-19,"OLIG1","9606.ENSP00000371785","Ensembl_gene"
"11","ENSG00000092067",1410,1.4009,0.149,2.54e-22,5.81e-19,"CEBPE","9606.ENSP00000206513","Ensembl_gene"
"12","ENSG00000183134",1947,1.4426,0.153,2.37e-22,5.81e-19,"PTGDR2","9606.ENSP00000332812","Ensembl_gene"
"13","ENSG00000282933",30,1.5614,0.1698,1.48e-21,3.11e-18,"RHOXF1P3","#N/A","#N/A"
"14","ENSG00000196220",209,1.0125,0.1107,2.72e-21,5.32e-18,"SRGAP3","9606.ENSP00000373347","Ensembl_gene"
"15","ENSG00000215148",69,1.6817,0.1845,3.24e-21,5.92e-18,"PRSS41","#N/A","#N/A"
"16","ENSG00000274376",315,1.387,0.1535,9.22e-21,1.58e-17,"ADAMTS7P1","#N/A","#N/A"
