"","Ensembl_ID","baseMean","log2FoldChange","lfcSE","pvalue","padj","gene_symbol","STRING_id","source"
"1","ENSG00000225972",16,3.8264,0.3185,3.6e-35,1.15e-30,"MTND1P23","#N/A","#N/A"
"2","ENSG00000234211",6,-0.8405,0.3105,8.33e-12,1.33e-07,"AL451067.1","#N/A","#N/A"
"3","ENSG00000237973",821,1.2145,0.1964,2.87e-11,3.06e-07,"MTCO1P12","#N/A","#N/A"
"4","ENSG00000125740",117,1.8448,0.1468,4.71e-09,3.76e-05,"FOSB","9606.ENSP00000245919","Ensembl_gene"
"5","ENSG00000239887",18,0,0.0014,8.52e-09,5.44e-05,"C1orf226","9606.ENSP00000413150","Ensembl_gene"
"6","ENSG00000144481",1,0,0.0014,6.16e-08,0.000328,"TRPM8","9606.ENSP00000323926","Ensembl_gene"
"7","ENSG00000100336",75,0,0.0014,1.19e-07,0.000543,"APOL4","9606.ENSP00000338260","Ensembl_gene"
"8","ENSG00000188659",16,0,0.0014,2.38e-07,0.000949,"SAXO2","9606.ENSP00000340445","Ensembl_gene"
"9","ENSG00000171533",6,1.2138,0.2731,3.81e-07,0.00135066,"MAP6","9606.ENSP00000307093","Ensembl_gene"
"10","ENSG00000164761",1,0,0.0014,6.95e-07,0.002219856,"TNFRSF11B","9606.ENSP00000297350","Ensembl_gene"
"11","ENSG00000143552",8,-0.9431,0.4015,1.68e-06,0.004865235,"NUP210L","9606.ENSP00000357547","Ensembl_gene"
"12","ENSG00000279092",45,-1.5533,0.3969,3.35e-06,0.00891385,"AC025678.3","#N/A","#N/A"
"13","ENSG00000133328",31,-1.1878,0.3071,3.96e-06,0.009711079,"PLAAT2","9606.ENSP00000255695","Ensembl_gene"
"14","ENSG00000128322",11,1.0484,0.2729,4.56e-06,0.010406026,"IGLL1","9606.ENSP00000329312","Ensembl_gene"
"15","ENSG00000174059",47,1.265,0.1691,5.58e-06,0.011877269,"CD34","9606.ENSP00000310036","Ensembl_gene"
"16","ENSG00000174950",5,1.2792,0.3423,6.71e-06,0.013029695,"CD164L2","9606.ENSP00000363139","Ensembl_gene"
"17","ENSG00000231645",6,-1.3917,0.37,6.94e-06,0.013029695,"KRT17P6","#N/A","#N/A"
"18","ENSG00000152229",2093,-1e-04,0.0014,7.6e-06,0.013484627,"PSTPIP2","9606.ENSP00000387261","Ensembl_gene"
"19","ENSG00000211891",194,2.5307,0.2604,8.65e-06,0.014530429,"IGHE","#N/A","#N/A"
"20","ENSG00000145685",574,0,0.0014,1.37e-05,0.020895465,"LHFPL2","9606.ENSP00000369702","Ensembl_gene"
"21","ENSG00000259544",1,-1.8771,0.5352,1.37e-05,0.020895465,"AC021739.4","#N/A","#N/A"
"22","ENSG00000116690",24,0.677,0.1912,1.49e-05,0.021605463,"PRG4","9606.ENSP00000399679","Ensembl_gene"
"23","ENSG00000279233",55,0.406,0.1156,1.59e-05,0.021998959,"AC122688.3","#N/A","#N/A"
"24","ENSG00000198929",5,0,0.0014,1.77e-05,0.02352109,"NOS1AP","9606.ENSP00000355133","Ensembl_gene"
"25","ENSG00000129596",9,0,0.0014,1.88e-05,0.024005102,"CDO1","9606.ENSP00000250535","Ensembl_gene"
"26","ENSG00000109471",1,0,0.0014,2.45e-05,0.026027901,"IL2","9606.ENSP00000226730","Ensembl_gene"
"27","ENSG00000162772",91,0,0.0014,2.42e-05,0.026027901,"ATF3","9606.ENSP00000344352","Ensembl_gene"
"28","ENSG00000215146",6,-1.102,0.3202,2.31e-05,0.026027901,"BX322639.1","#N/A","#N/A"
"29","ENSG00000227470",1,0,0.0014,2.21e-05,0.026027901,"AC073415.1","#N/A","#N/A"
"30","ENSG00000255410",3,-1.0957,0.3129,2.2e-05,0.026027901,"AC091564.5","#N/A","#N/A"
"31","ENSG00000141750",3,-0.9958,0.2959,2.59e-05,0.026560415,"STAC2","9606.ENSP00000327509","Ensembl_gene"
