"","Ensembl_ID","baseMean","log2FoldChange","lfcSE","pvalue","padj","gene_symbol","STRING_id","source"
"1","ENSG00000099377",439,1.3138,0.1323,1.65e-24,1.87e-20,"HSD3B7","9606.ENSP00000297679","Ensembl_gene"
"2","ENSG00000182557",1933,1.4193,0.1417,8.3e-25,1.87e-20,"SPNS3","9606.ENSP00000347721","Ensembl_gene"
"3","ENSG00000112759",3323,1.6923,0.1781,1.38e-22,1.04e-18,"SLC29A1","9606.ENSP00000377424","Ensembl_gene"
"4","ENSG00000276231",2680,1.1778,0.1256,3.43e-22,1.93e-18,"PIK3R6","9606.ENSP00000480157","Ensembl_gene"
"5","ENSG00000162390",220,1.3057,0.1402,6.56e-22,2.96e-18,"ACOT11","9606.ENSP00000360366","Ensembl_gene"
"6","ENSG00000119943",758,0.9052,0.0993,4.02e-21,1.3e-17,"PYROXD2","9606.ENSP00000359607","Ensembl_gene"
"7","ENSG00000183134",1981,1.6037,0.1758,3.8e-21,1.3e-17,"PTGDR2","9606.ENSP00000332812","Ensembl_gene"
"8","ENSG00000282608",531,1.6032,0.1761,4.6e-21,1.3e-17,"ADORA3","#N/A","#N/A"
"9","ENSG00000135605",176,0.9334,0.1027,6.06e-21,1.52e-17,"TEC","9606.ENSP00000370912","Ensembl_gene"
"10","ENSG00000117640",2218,0.4733,0.0528,1.46e-20,3.3e-17,"MTFR1L","9606.ENSP00000363419","Ensembl_gene"
"11","ENSG00000092067",1854,1.5234,0.1715,4e-20,8.22e-17,"CEBPE","9606.ENSP00000206513","Ensembl_gene"
"12","ENSG00000134072",3628,1.1275,0.1282,9.31e-20,1.75e-16,"CAMK1","9606.ENSP00000256460","Ensembl_gene"
"13","ENSG00000179627",580,0.9591,0.1111,3.06e-19,5.31e-16,"ZBTB42","9606.ENSP00000409107","Ensembl_gene"
"14","ENSG00000267416",108,2.0507,0.2382,4.26e-19,6.88e-16,"AC025048.4","#N/A","#N/A"
"15","ENSG00000091181",1381,1.7046,0.2047,4.6e-18,6.4e-15,"IL5RA","9606.ENSP00000412209","Ensembl_gene"
"16","ENSG00000140263",989,0.9745,0.1174,4.82e-18,6.4e-15,"SORD","9606.ENSP00000267814","Ensembl_gene"
