"","Ensembl_ID","baseMean","log2FoldChange","lfcSE","pvalue","padj","gene_symbol","STRING_id","source"
"1","ENSG00000211891",444,-2.2687,0.2728,5.52e-20,9.08e-16,"IGHE","#N/A","#N/A"
"2","ENSG00000167513",107,-1.0198,0.1381,3.79e-15,3.12e-11,"CDT1","9606.ENSP00000301019","Ensembl_gene"
"3","ENSG00000088325",125,-0.8479,0.1253,3.98e-13,2.19e-09,"TPX2","9606.ENSP00000300403","Ensembl_gene"
"4","ENSG00000089685",131,-1.0748,0.1711,6e-12,2.47e-08,"BIRC5","9606.ENSP00000301633","Ensembl_gene"
"5","ENSG00000108309",2858,-0.7953,0.1301,2.3e-11,7.57e-08,"RUNDC3A","9606.ENSP00000410862","Ensembl_gene"
"6","ENSG00000184451",228,-0.8646,0.1578,8.99e-10,2.47e-06,"CCR10","9606.ENSP00000332504","Ensembl_gene"
"7","ENSG00000134057",140,-0.5305,0.0989,3.52e-09,8.27e-06,"CCNB1","9606.ENSP00000256442","Ensembl_gene"
"8","ENSG00000148773",281,-0.6669,0.127,4.73e-09,9.73e-06,"MKI67","9606.ENSP00000357643","Ensembl_gene"
"9","ENSG00000111206",110,-0.9827,0.1934,6.65e-09,1.14e-05,"FOXM1","9606.ENSP00000342307","Ensembl_gene"
"10","ENSG00000117399",102,-0.9163,0.1798,6.91e-09,1.14e-05,"CDC20","9606.ENSP00000361540","Ensembl_gene"
"11","ENSG00000157456",88,-0.9495,0.1895,1.07e-08,1.6e-05,"CCNB2","9606.ENSP00000288207","Ensembl_gene"
"12","ENSG00000228168",97,-0.648,0.1312,2.9e-08,3.98e-05,"HNRNPA1P21","#N/A","#N/A"
"13","ENSG00000105610",651,-0.7774,0.163,3.63e-08,4.6e-05,"KLF1","9606.ENSP00000264834","Ensembl_gene"
"14","ENSG00000117632",1227,-0.3828,0.0776,4.1e-08,4.82e-05,"STMN1","9606.ENSP00000410452","Ensembl_gene"
"15","ENSG00000167900",208,-0.724,0.157,1.02e-07,0.000113,"TK1","9606.ENSP00000301634","Ensembl_gene"
"16","ENSG00000164611",265,-0.6106,0.1337,1.55e-07,0.00016,"PTTG1","9606.ENSP00000377536","Ensembl_gene"
"17","ENSG00000101057",382,-0.6731,0.15,1.79e-07,0.000173,"MYBL2","9606.ENSP00000217026","Ensembl_gene"
"18","ENSG00000100162",97,-0.6907,0.1568,3.25e-07,0.000282,"CENPM","9606.ENSP00000215980","Ensembl_gene"
"19","ENSG00000171848",315,-0.7197,0.1666,3.19e-07,0.000282,"RRM2","9606.ENSP00000353770","Ensembl_gene"
"20","ENSG00000111665",57,-0.6948,0.1591,4.09e-07,0.000337,"CDCA3","9606.ENSP00000442068","Ensembl_gene"
"21","ENSG00000178297",171,-0.8898,0.2116,4.37e-07,0.000343,"TMPRSS9","9606.ENSP00000330264","Ensembl_gene"
"22","ENSG00000176890",182,-0.8023,0.19,4.76e-07,0.000356,"TYMS","9606.ENSP00000315644","Ensembl_gene"
"23","ENSG00000175063",161,-0.5173,0.1221,8.76e-07,0.000627,"UBE2C","9606.ENSP00000348838","Ensembl_gene"
"24","ENSG00000007968",1079,-0.4196,0.1001,1.17e-06,0.000728,"E2F2","9606.ENSP00000355249","Ensembl_gene"
"25","ENSG00000013306",70037,-0.6679,0.1665,1.37e-06,0.000728,"SLC25A39","9606.ENSP00000366299","Ensembl_gene"
"26","ENSG00000123485",47,-0.8325,0.2065,1.36e-06,0.000728,"HJURP","9606.ENSP00000414109","Ensembl_gene"
"27","ENSG00000127564",95,-0.6253,0.1527,1.35e-06,0.000728,"PKMYT1","9606.ENSP00000262300","Ensembl_gene"
"28","ENSG00000131153",122,-0.7097,0.1744,1.18e-06,0.000728,"GINS2","9606.ENSP00000253462","Ensembl_gene"
"29","ENSG00000156381",289,-0.5101,0.1227,1.22e-06,0.000728,"ANKRD9","9606.ENSP00000286918","Ensembl_gene"
"30","ENSG00000167994",116,-0.7861,0.1959,1.37e-06,0.000728,"RAB3IL1","9606.ENSP00000378313","Ensembl_gene"
"31","ENSG00000184792",1467,-0.6362,0.1564,1.19e-06,0.000728,"OSBP2","9606.ENSP00000332576","Ensembl_gene"
"32","ENSG00000213088",135,-0.808,0.2097,2.27e-06,0.00117,"ACKR1","9606.ENSP00000357103","Ensembl_gene"
"33","ENSG00000115641",58,-0.6238,0.158,2.94e-06,0.0014,"FHL2","9606.ENSP00000386665","Ensembl_gene"
"34","ENSG00000166947",1376,-0.6583,0.1715,2.87e-06,0.0014,"EPB42","9606.ENSP00000300215","Ensembl_gene"
"35","ENSG00000187017",296,-0.772,0.204,2.98e-06,0.0014,"ESPN","9606.ENSP00000367059","Ensembl_gene"
"36","ENSG00000011028",409,-0.509,0.13,3.14e-06,0.00142,"MRC2","9606.ENSP00000307513","Ensembl_gene"
"37","ENSG00000168685",7009,0.3568,0.0894,3.19e-06,0.00142,"IL7R","9606.ENSP00000306157","Ensembl_gene"
"38","ENSG00000158856",12135,-0.5867,0.1546,3.87e-06,0.00168,"DMTN","9606.ENSP00000427866","Ensembl_gene"
"39","ENSG00000135451",77,-0.7077,0.1875,4.33e-06,0.00183,"TROAP","9606.ENSP00000257909","Ensembl_gene"
"40","ENSG00000158578",32789,-0.7165,0.2005,6.75e-06,0.00278,"ALAS2","9606.ENSP00000332369","Ensembl_gene"
"41","ENSG00000204613",162,-0.5993,0.1637,7.44e-06,0.00299,"TRIM10","9606.ENSP00000397073","Ensembl_gene"
"42","ENSG00000101412",300,-0.5093,0.1387,8.17e-06,0.0032,"E2F1","9606.ENSP00000345571","Ensembl_gene"
"43","ENSG00000237649",106,-0.747,0.2135,9.55e-06,0.00366,"KIFC1","9606.ENSP00000393963","Ensembl_gene"
"44","ENSG00000167671",22423,-0.4441,0.1224,1.02e-05,0.00383,"UBXN6","9606.ENSP00000301281","Ensembl_gene"
"45","ENSG00000143416",4652,-0.6937,0.2025,1.13e-05,0.00415,"SELENBP1","9606.ENSP00000397261","Ensembl_gene"
"46","ENSG00000104892",366,-0.6344,0.1843,1.34e-05,0.00459,"KLC3","9606.ENSP00000375810","Ensembl_gene"
"47","ENSG00000126787",55,-0.6997,0.2014,1.33e-05,0.00459,"DLGAP5","9606.ENSP00000247191","Ensembl_gene"
"48","ENSG00000162366",3166,-0.6141,0.1783,1.31e-05,0.00459,"PDZK1IP1","9606.ENSP00000294338","Ensembl_gene"
"49","ENSG00000066933",310,0.2838,0.0771,1.4e-05,0.00469,"MYO9A","9606.ENSP00000348349","Ensembl_gene"
"50","ENSG00000204789",55,0.8997,0.2688,1.48e-05,0.00489,"ZNF204P","#N/A","#N/A"
"51","ENSG00000166169",3772,-0.3221,0.0899,1.71e-05,0.00553,"POLL","9606.ENSP00000359181","Ensembl_gene"
"52","ENSG00000238243",673,-0.6761,0.2012,1.87e-05,0.00593,"OR2W3","9606.ENSP00000353516","Ensembl_gene"
"53","ENSG00000132819",9766,-0.3836,0.1097,1.93e-05,0.006,"RBM38","9606.ENSP00000348538","Ensembl_gene"
"54","ENSG00000138180",40,-0.7262,0.2159,2.04e-05,0.00603,"CEP55","9606.ENSP00000360540","Ensembl_gene"
"55","ENSG00000151835",118,0.4936,0.1432,2.01e-05,0.00603,"SACS","9606.ENSP00000371735","Ensembl_gene"
"56","ENSG00000162367",858,-0.4937,0.144,2.05e-05,0.00603,"TAL1","9606.ENSP00000294339","Ensembl_gene"
"57","ENSG00000136732",44389,-0.5143,0.153,2.21e-05,0.00639,"GYPC","9606.ENSP00000259254","Ensembl_gene"
"58","ENSG00000171552",11808,-0.4923,0.146,2.26e-05,0.0064,"BCL2L1","9606.ENSP00000302564","Ensembl_gene"
"59","ENSG00000137198",2402,-0.5418,0.1629,2.36e-05,0.00658,"GMPR","9606.ENSP00000259727","Ensembl_gene"
"60","ENSG00000104903",9353,-0.3665,0.1086,3.09e-05,0.00841,"LYL1","9606.ENSP00000264824","Ensembl_gene"
"61","ENSG00000197993",221,-0.5867,0.181,3.11e-05,0.00841,"KEL","9606.ENSP00000347409","Ensembl_gene"
"62","ENSG00000196188",49,-0.6355,0.1937,3.2e-05,0.0085,"CTSE","9606.ENSP00000350911","Ensembl_gene"
"63","ENSG00000023445",1621,0.3831,0.1147,3.38e-05,0.00869,"BIRC3","9606.ENSP00000263464","Ensembl_gene"
"64","ENSG00000060138",11990,-0.4609,0.1406,3.37e-05,0.00869,"YBX3","9606.ENSP00000228251","Ensembl_gene"
"65","ENSG00000174738",307,0.3472,0.1025,3.43e-05,0.00869,"NR1D2","9606.ENSP00000310006","Ensembl_gene"
"66","ENSG00000101935",193,0.2944,0.0865,3.84e-05,0.00943,"AMMECR1","9606.ENSP00000262844","Ensembl_gene"
"67","ENSG00000133069",921,-0.4638,0.1431,3.79e-05,0.00943,"TMCC2","9606.ENSP00000350718","Ensembl_gene"
"68","ENSG00000093009",44,-0.6259,0.1961,4.2e-05,0.0102,"CDC45","9606.ENSP00000405726","Ensembl_gene"
"69","ENSG00000145335",3165,-0.5641,0.1823,4.63e-05,0.0111,"SNCA","9606.ENSP00000338345","Ensembl_gene"
"70","ENSG00000197558",201,-0.2684,0.08,5.08e-05,0.0119,"SSPO","#N/A","#N/A"
"71","ENSG00000004939",8336,-0.6177,0.2069,5.62e-05,0.013,"SLC4A1","9606.ENSP00000262418","Ensembl_gene"
"72","ENSG00000090889",30,-0.6887,0.2242,5.67e-05,0.013,"KIF4A","9606.ENSP00000363524","Ensembl_gene"
"73","ENSG00000146670",86,-0.5701,0.1852,5.9e-05,0.0131,"CDCA5","9606.ENSP00000275517","Ensembl_gene"
"74","ENSG00000159346",24104,-0.4149,0.1321,5.84e-05,0.0131,"ADIPOR1","9606.ENSP00000341785","Ensembl_gene"
