"","Ensembl_ID","baseMean","log2FoldChange","lfcSE","pvalue","padj","gene_symbol","STRING_id","source"
"1","ENSG00000211891",219,-1.3833,0.257,1.73e-10,2.06e-06,"IGHE","#N/A","#N/A"
"2","ENSG00000089169",675,-0.4729,0.0945,1.7e-08,0.000102,"RPH3A","9606.ENSP00000374036","Ensembl_gene"
"3","ENSG00000167513",108,-0.5759,0.1499,2.83e-06,0.0112,"CDT1","9606.ENSP00000301019","Ensembl_gene"
"4","ENSG00000100985",12838,-0.59,0.1771,1.36e-05,0.0334,"MMP9","9606.ENSP00000361405","Ensembl_gene"
"5","ENSG00000112053",496,-0.5002,0.1466,1.4e-05,0.0334,"SLC26A8","9606.ENSP00000417638","Ensembl_gene"
"6","ENSG00000111206",118,-0.5303,0.1604,2.07e-05,0.0412,"FOXM1","9606.ENSP00000342307","Ensembl_gene"
"7","ENSG00000175274",7334,-0.3471,0.1048,2.64e-05,0.0451,"TP53I11","9606.ENSP00000436152","Ensembl_gene"
"8","ENSG00000234290",209,-0.3478,0.1081,3.04e-05,0.0452,"AC116366.2","#N/A","#N/A"
"9","ENSG00000237803",314,-0.3704,0.1144,3.41e-05,0.0452,"LINC00211","#N/A","#N/A"
"10","ENSG00000274173",250,-0.5834,0.1924,3.78e-05,0.0452,"AL035661.1","#N/A","#N/A"
"11","ENSG00000122642",134,-0.369,0.1168,4.52e-05,0.0487,"FKBP9","9606.ENSP00000439250","Ensembl_gene"
"12","ENSG00000171236",7478,-0.4263,0.1391,4.89e-05,0.0487,"LRG1","9606.ENSP00000302621","Ensembl_gene"
"13","ENSG00000128383",13362,-0.3023,0.0998,7.24e-05,0.0665,"APOBEC3A","9606.ENSP00000384359","Ensembl_gene"
"14","ENSG00000282508",5258,-0.3465,0.1186,9e-05,0.0767,"LINC01002","#N/A","#N/A"
"15","ENSG00000069399",5543,-0.2929,0.1022,0.000119,0.0948,"BCL3","9606.ENSP00000164227","Ensembl_gene"
"16","ENSG00000134827",604,-0.5198,0.2016,0.000151,0.0971,"TCN1","9606.ENSP00000257264","Ensembl_gene"
"17","ENSG00000152766",258,-0.3497,0.1274,0.000155,0.0971,"ANKRD22","9606.ENSP00000360998","Ensembl_gene"
"18","ENSG00000160856",1594,0.2406,0.0842,0.000138,0.0971,"FCRL3","9606.ENSP00000357167","Ensembl_gene"
"19","ENSG00000202538",124,-0.0047,0.027,0.000132,0.0971,"RNU4-2","#N/A","#N/A"
"20","ENSG00000089685",122,-0.3866,0.1461,0.000195,0.0985,"BIRC5","9606.ENSP00000301633","Ensembl_gene"
"21","ENSG00000099985",299,-0.2777,0.1037,0.000215,0.0985,"OSM","9606.ENSP00000215781","Ensembl_gene"
"22","ENSG00000123405",22358,-0.3158,0.1182,0.000193,0.0985,"NFE2","9606.ENSP00000439120","Ensembl_gene"
"23","ENSG00000196781",225,0.2843,0.1055,0.000208,0.0985,"TLE1","9606.ENSP00000365682","Ensembl_gene"
"24","ENSG00000198216",358,-0.3475,0.1318,0.000205,0.0985,"CACNA1E","9606.ENSP00000356545","Ensembl_gene"
"25","ENSG00000198355",4525,-0.1603,0.0559,0.000167,0.0985,"PIM3","9606.ENSP00000353824","Ensembl_gene"
"26","ENSG00000251230",115,-0.4012,0.152,0.000196,0.0985,"MIR3945HG","#N/A","#N/A"
"27","ENSG00000147454",63748,-0.356,0.138,0.000224,0.099,"SLC25A37","9606.ENSP00000429200","Ensembl_gene"
"28","ENSG00000138772",2513,-0.4467,0.1822,0.000248,0.106,"ANXA3","9606.ENSP00000264908","Ensembl_gene"
"29","ENSG00000090339",2247,-0.2409,0.0923,0.00027,0.108,"ICAM1","9606.ENSP00000264832","Ensembl_gene"
"30","ENSG00000109743",4669,-0.2151,0.0829,0.000299,0.108,"BST1","9606.ENSP00000265016","Ensembl_gene"
"31","ENSG00000115828",5405,-0.3424,0.1377,0.00029,0.108,"QPCT","9606.ENSP00000344829","Ensembl_gene"
"32","ENSG00000139890",1765,-0.2675,0.105,0.000298,0.108,"REM2","9606.ENSP00000267396","Ensembl_gene"
