"","Ensembl_ID","baseMean","log2FoldChange","lfcSE","pvalue","padj","gene_symbol","STRING_id","source"
"1","ENSG00000000005",0,4e-04,0.0589,0.979,1,"TNMD","9606.ENSP00000362122","Ensembl_gene"
"2","ENSG00000002079",0,4e-04,0.0588,0.957,1,"MYH16","",""
"3","ENSG00000003989",0,4e-04,0.0589,0.955,1,"SLC7A2","9606.ENSP00000004531","Ensembl_gene"
"4","ENSG00000004848",0,0.0012,0.0588,0.858,1,"ARX","9606.ENSP00000368332","Ensembl_gene"
"5","ENSG00000005073",0,0.002,0.0589,0.801,1,"HOXA11","9606.ENSP00000006015","Ensembl_gene"
"6","ENSG00000005421",0,-0.0033,0.0589,0.572,1,"PON1","9606.ENSP00000222381","Ensembl_gene"
"7","ENSG00000005981",0,0.0026,0.0589,0.74,1,"ASB4","9606.ENSP00000321388","Ensembl_gene"
"8","ENSG00000006059",0,-8e-04,0.0589,0.994,1,"KRT33A","9606.ENSP00000007735","Ensembl_gene"
"9","ENSG00000006071",0,2e-04,0.0588,0.958,1,"ABCC8","9606.ENSP00000303960","Ensembl_gene"
"10","ENSG00000006116",0,0.0015,0.0588,0.839,1,"CACNG3","9606.ENSP00000005284","Ensembl_gene"
"11","ENSG00000006128",0,4e-04,0.0589,0.979,1,"TAC1","9606.ENSP00000321106","Ensembl_gene"
"12","ENSG00000006283",0,0.0014,0.0588,0.713,1,"CACNA1G","9606.ENSP00000352011","Ensembl_gene"
"13","ENSG00000006377",0,5e-04,0.0589,0.971,1,"DLX6","9606.ENSP00000428480","Ensembl_gene"
"14","ENSG00000006611",0,4e-04,0.0588,0.943,1,"USH1C","9606.ENSP00000005226","Ensembl_gene"
"15","ENSG00000006788",0,0.001,0.0589,0.866,1,"MYH13","9606.ENSP00000404570","Ensembl_gene"
"16","ENSG00000007174",0,0.0014,0.0589,0.854,1,"DNAH9","9606.ENSP00000262442","Ensembl_gene"
"17","ENSG00000007216",0,4e-04,0.0589,0.979,1,"SLC13A2","9606.ENSP00000392411","Ensembl_gene"
"18","ENSG00000007908",0,0.0017,0.0589,0.885,1,"SELE","9606.ENSP00000331736","Ensembl_gene"
"19","ENSG00000007933",0,0.0015,0.0589,0.849,1,"FMO3","9606.ENSP00000356729","Ensembl_gene"
"20","ENSG00000008118",0,2e-04,0.0588,0.972,1,"CAMK1G","9606.ENSP00000009105","Ensembl_gene"
"21","ENSG00000008196",0,0.0019,0.0589,0.793,1,"TFAP2B","9606.ENSP00000377265","Ensembl_gene"
"22","ENSG00000008197",0,0.0017,0.0589,0.828,1,"TFAP2D","9606.ENSP00000008391","Ensembl_gene"
"23","ENSG00000009709",0,5e-04,0.0589,0.954,1,"PAX7","9606.ENSP00000364524","Ensembl_gene"
"24","ENSG00000011083",0,6e-04,0.0588,0.942,1,"SLC6A7","9606.ENSP00000230671","Ensembl_gene"
"25","ENSG00000011677",0,0.001,0.0589,0.919,1,"GABRA3","9606.ENSP00000359337","Ensembl_gene"
"26","ENSG00000012504",0,5e-04,0.0589,0.971,1,"NR1H4","9606.ENSP00000447149","Ensembl_gene"
"27","ENSG00000016402",0,-0.0016,0.0589,0.83,1,"IL20RA","9606.ENSP00000314976","Ensembl_gene"
"28","ENSG00000016490",0,0.0011,0.0589,0.871,1,"CLCA1","9606.ENSP00000234701","Ensembl_gene"
"29","ENSG00000016602",0,-0.0016,0.0588,0.821,1,"CLCA4","9606.ENSP00000359594","Ensembl_gene"
"30","ENSG00000018236",0,7e-04,0.0588,0.923,1,"CNTN1","9606.ENSP00000447006","Ensembl_gene"
"31","ENSG00000019505",0,3e-04,0.0589,0.979,1,"SYT13","9606.ENSP00000020926","Ensembl_gene"
"32","ENSG00000019549",0,-2e-04,0.0588,0.997,1,"SNAI2","9606.ENSP00000380034","Ensembl_gene"
"33","ENSG00000022355",0,0.0011,0.0589,0.895,1,"GABRA1","9606.ENSP00000393097","Ensembl_gene"
"34","ENSG00000029559",0,-4e-04,0.0589,0.997,1,"IBSP","9606.ENSP00000226284","Ensembl_gene"
"35","ENSG00000030304",0,0.0016,0.0589,0.78,1,"MUSK","9606.ENSP00000363571","Ensembl_gene"
"36","ENSG00000034971",0,-0.0014,0.0589,0.921,1,"MYOC","9606.ENSP00000037502","Ensembl_gene"
"37","ENSG00000036473",0,-0.0026,0.0589,0.939,1,"OTC","9606.ENSP00000039007","Ensembl_gene"
"38","ENSG00000038295",0,5e-04,0.0589,0.971,1,"TLL1","9606.ENSP00000061240","Ensembl_gene"
"39","ENSG00000039537",0,6e-04,0.0589,0.962,1,"C6","9606.ENSP00000263413","Ensembl_gene"
"40","ENSG00000040731",0,0.0011,0.0589,0.872,1,"CDH10","9606.ENSP00000264463","Ensembl_gene"
"41","ENSG00000042304",0,5e-04,0.0589,0.962,1,"C2orf83","9606.ENSP00000264387","Ensembl_gene"
"42","ENSG00000042813",0,-0.0026,0.0588,0.77,1,"ZPBP","9606.ENSP00000046087","Ensembl_gene"
"43","ENSG00000043355",0,3e-04,0.0589,0.979,1,"ZIC2","9606.ENSP00000365514","Ensembl_gene"
"44","ENSG00000044012",0,-0.0018,0.0588,0.908,1,"GUCA2B","9606.ENSP00000361662","Ensembl_gene"
"45","ENSG00000044524",0,-0.0055,0.0591,0.462,1,"EPHA3","9606.ENSP00000337451","Ensembl_gene"
"46","ENSG00000046774",0,8e-04,0.0589,0.94,1,"MAGEC2","9606.ENSP00000354660","Ensembl_gene"
"47","ENSG00000048540",0,0.0023,0.0589,0.758,1,"LMO3","9606.ENSP00000442786","Ensembl_gene"
"48","ENSG00000049283",0,4e-04,0.0588,0.953,1,"EPN3","9606.ENSP00000268933","Ensembl_gene"
