"","Ensembl_ID","baseMean","log2FoldChange","lfcSE","pvalue","padj","gene_symbol","STRING_id","source"
"1","ENSG00000211891",313,-1.7657,0.1961,1.04e-23,1.98e-19,"IGHE","#N/A","#N/A"
"2","ENSG00000167513",108,-0.7746,0.1064,4.82e-15,4.58e-11,"CDT1","9606.ENSP00000301019","Ensembl_gene"
"3","ENSG00000111206",115,-0.7403,0.1239,3.04e-11,1.93e-07,"FOXM1","9606.ENSP00000342307","Ensembl_gene"
"4","ENSG00000089685",126,-0.6839,0.115,4.26e-11,2.03e-07,"BIRC5","9606.ENSP00000301633","Ensembl_gene"
"5","ENSG00000123485",52,-0.6009,0.1174,6.91e-09,2.63e-05,"HJURP","9606.ENSP00000414109","Ensembl_gene"
"6","ENSG00000088325",135,-0.5117,0.1027,1.53e-08,4.83e-05,"TPX2","9606.ENSP00000300403","Ensembl_gene"
"7","ENSG00000167900",208,-0.5328,0.1124,4.46e-08,0.000106,"TK1","9606.ENSP00000301634","Ensembl_gene"
"8","ENSG00000181856",18,-0.7811,0.1633,4.48e-08,0.000106,"SLC2A4","9606.ENSP00000320935","Ensembl_gene"
"9","ENSG00000135451",77,-0.5164,0.1107,7.9e-08,0.000167,"TROAP","9606.ENSP00000257909","Ensembl_gene"
"10","ENSG00000115641",58,-0.4703,0.1002,8.86e-08,0.000168,"FHL2","9606.ENSP00000386665","Ensembl_gene"
"11","ENSG00000093009",46,-0.5424,0.1248,3.45e-07,0.000595,"CDC45","9606.ENSP00000405726","Ensembl_gene"
"12","ENSG00000159346",23299,-0.3943,0.0916,4.74e-07,0.000751,"ADIPOR1","9606.ENSP00000341785","Ensembl_gene"
"13","ENSG00000122642",128,-0.3645,0.0849,6.11e-07,0.000893,"FKBP9","9606.ENSP00000439250","Ensembl_gene"
"14","ENSG00000148773",303,-0.4374,0.1044,7.11e-07,0.000965,"MKI67","9606.ENSP00000357643","Ensembl_gene"
"15","ENSG00000228168",101,-0.3863,0.0916,8.3e-07,0.00105,"HNRNPA1P21","#N/A","#N/A"
"16","ENSG00000176890",182,-0.5352,0.1318,8.95e-07,0.00106,"TYMS","9606.ENSP00000315644","Ensembl_gene"
"17","ENSG00000158578",25886,-0.7002,0.1795,9.88e-07,0.00111,"ALAS2","9606.ENSP00000332369","Ensembl_gene"
"18","ENSG00000175793",35,-0.4977,0.1212,1.23e-06,0.0013,"SFN","9606.ENSP00000340989","Ensembl_gene"
"19","ENSG00000090889",34,-0.5305,0.1311,1.35e-06,0.00135,"KIF4A","9606.ENSP00000363524","Ensembl_gene"
"20","ENSG00000060138",10888,-0.4316,0.1089,1.79e-06,0.00156,"YBX3","9606.ENSP00000228251","Ensembl_gene"
"21","ENSG00000127564",94,-0.4218,0.1064,2.14e-06,0.00156,"PKMYT1","9606.ENSP00000262300","Ensembl_gene"
"22","ENSG00000175063",162,-0.3761,0.0955,2e-06,0.00156,"UBE2C","9606.ENSP00000348838","Ensembl_gene"
"23","ENSG00000175274",6846,-0.3163,0.0779,1.72e-06,0.00156,"TP53I11","9606.ENSP00000436152","Ensembl_gene"
"24","ENSG00000198355",4511,-0.1758,0.0422,2.09e-06,0.00156,"PIM3","9606.ENSP00000353824","Ensembl_gene"
"25","ENSG00000213088",122,-0.6638,0.1769,1.92e-06,0.00156,"ACKR1","9606.ENSP00000357103","Ensembl_gene"
"26","ENSG00000245848",3681,-0.2409,0.059,2.1e-06,0.00156,"CEBPA","9606.ENSP00000427514","Ensembl_gene"
"27","ENSG00000164611",265,-0.3579,0.0901,2.32e-06,0.00163,"PTTG1","9606.ENSP00000377536","Ensembl_gene"
"28","ENSG00000167994",113,-0.6128,0.1635,2.48e-06,0.00169,"RAB3IL1","9606.ENSP00000378313","Ensembl_gene"
"29","ENSG00000157456",89,-0.5166,0.1352,2.58e-06,0.00169,"CCNB2","9606.ENSP00000288207","Ensembl_gene"
"30","ENSG00000137198",2060,-0.5032,0.1326,2.71e-06,0.00172,"GMPR","9606.ENSP00000259727","Ensembl_gene"
"31","ENSG00000094804",53,-0.4041,0.1029,2.82e-06,0.00173,"CDC6","9606.ENSP00000209728","Ensembl_gene"
"32","ENSG00000104892",368,-0.5726,0.1566,3.54e-06,0.0021,"KLC3","9606.ENSP00000375810","Ensembl_gene"
"33","ENSG00000156738",3619,0.3271,0.0847,3.74e-06,0.00215,"MS4A1","9606.ENSP00000433277","Ensembl_gene"
"34","ENSG00000156381",297,-0.37,0.0974,4.38e-06,0.00245,"ANKRD9","9606.ENSP00000286918","Ensembl_gene"
"35","ENSG00000163534",617,0.3034,0.079,4.54e-06,0.00247,"FCRL1","9606.ENSP00000357158","Ensembl_gene"
"36","ENSG00000004939",7477,-0.6298,0.1769,4.71e-06,0.00249,"SLC4A1","9606.ENSP00000262418","Ensembl_gene"
"37","ENSG00000134057",145,-0.2891,0.0753,5e-06,0.00257,"CCNB1","9606.ENSP00000256442","Ensembl_gene"
"38","ENSG00000111665",61,-0.4134,0.1102,5.24e-06,0.00262,"CDCA3","9606.ENSP00000442068","Ensembl_gene"
"39","ENSG00000178999",148,-0.337,0.0891,5.39e-06,0.00263,"AURKB","9606.ENSP00000313950","Ensembl_gene"
"40","ENSG00000101412",289,-0.3302,0.0875,5.55e-06,0.00264,"E2F1","9606.ENSP00000345571","Ensembl_gene"
"41","ENSG00000131153",115,-0.4208,0.1135,5.74e-06,0.00265,"GINS2","9606.ENSP00000253462","Ensembl_gene"
"42","ENSG00000171848",312,-0.4142,0.1128,5.99e-06,0.00265,"RRM2","9606.ENSP00000353770","Ensembl_gene"
"43","ENSG00000237803",298,-0.3284,0.0875,5.99e-06,0.00265,"LINC00211","#N/A","#N/A"
"44","ENSG00000089169",758,-0.3291,0.0885,6.49e-06,0.00275,"RPH3A","9606.ENSP00000374036","Ensembl_gene"
"45","ENSG00000130821",1281,-0.5007,0.1407,6.66e-06,0.00275,"SLC6A8","9606.ENSP00000253122","Ensembl_gene"
"46","ENSG00000147454",61231,-0.3395,0.0917,6.58e-06,0.00275,"SLC25A37","9606.ENSP00000429200","Ensembl_gene"
"47","ENSG00000108309",3222,-0.5819,0.1677,7.07e-06,0.0028,"RUNDC3A","9606.ENSP00000410862","Ensembl_gene"
"48","ENSG00000158856",12581,-0.4745,0.1333,7.07e-06,0.0028,"DMTN","9606.ENSP00000427866","Ensembl_gene"
"49","ENSG00000115163",16,-0.5886,0.1633,7.92e-06,0.00303,"CENPA","9606.ENSP00000336868","Ensembl_gene"
"50","ENSG00000126787",57,-0.4548,0.1269,8.3e-06,0.00303,"DLGAP5","9606.ENSP00000247191","Ensembl_gene"
"51","ENSG00000143416",3971,-0.6353,0.188,8.3e-06,0.00303,"SELENBP1","9606.ENSP00000397261","Ensembl_gene"
"52","ENSG00000197993",211,-0.4983,0.1424,8.02e-06,0.00303,"KEL","9606.ENSP00000347409","Ensembl_gene"
"53","ENSG00000164087",154,-0.2453,0.0655,8.73e-06,0.00313,"POC1A","9606.ENSP00000296484","Ensembl_gene"
"54","ENSG00000129195",19,-0.5355,0.1488,9.18e-06,0.00323,"PIMREG","9606.ENSP00000250056","Ensembl_gene"
"55","ENSG00000187266",700,-0.208,0.0554,9.36e-06,0.00324,"EPOR","9606.ENSP00000222139","Ensembl_gene"
"56","ENSG00000238243",572,-0.569,0.1679,1.05e-05,0.0035,"OR2W3","9606.ENSP00000353516","Ensembl_gene"
"57","ENSG00000274173",242,-0.5212,0.1532,1.05e-05,0.0035,"AL035661.1","#N/A","#N/A"
"58","ENSG00000007968",1044,-0.2883,0.0798,1.11e-05,0.0036,"E2F2","9606.ENSP00000355249","Ensembl_gene"
"59","ENSG00000182521",13,-0.6622,0.1902,1.12e-05,0.0036,"TBPL2","9606.ENSP00000247219","Ensembl_gene"
"60","ENSG00000284526",588,-0.2698,0.0745,1.16e-05,0.00369,"AC015802.6","#N/A","#N/A"
"61","ENSG00000105610",594,-0.569,0.1715,1.24e-05,0.00387,"KLF1","9606.ENSP00000264834","Ensembl_gene"
"62","ENSG00000237649",109,-0.4602,0.134,1.29e-05,0.00396,"KIFC1","9606.ENSP00000393963","Ensembl_gene"
"63","ENSG00000051180",61,-0.4421,0.1278,1.35e-05,0.00404,"RAD51","9606.ENSP00000372088","Ensembl_gene"
"64","ENSG00000162367",840,-0.3806,0.1098,1.36e-05,0.00404,"TAL1","9606.ENSP00000294339","Ensembl_gene"
"65","ENSG00000184792",1414,-0.4547,0.1347,1.43e-05,0.00418,"OSBP2","9606.ENSP00000332576","Ensembl_gene"
"66","ENSG00000186185",38,-0.5184,0.154,1.61e-05,0.00463,"KIF18B","9606.ENSP00000465992","Ensembl_gene"
"67","ENSG00000150045",390,0.4428,0.1335,1.78e-05,0.00498,"KLRF1","9606.ENSP00000483713","Ensembl_gene"
"68","ENSG00000166947",1240,-0.5284,0.1617,1.78e-05,0.00498,"EPB42","9606.ENSP00000300215","Ensembl_gene"
"69","ENSG00000076864",163,-0.4819,0.1466,2.08e-05,0.00563,"RAP1GAP","9606.ENSP00000434033","Ensembl_gene"
"70","ENSG00000100162",97,-0.3967,0.1182,2.12e-05,0.00563,"CENPM","9606.ENSP00000215980","Ensembl_gene"
"71","ENSG00000112053",512,-0.382,0.1147,2.16e-05,0.00563,"SLC26A8","9606.ENSP00000417638","Ensembl_gene"
"72","ENSG00000136842",560,-0.4341,0.1321,2.13e-05,0.00563,"TMOD1","9606.ENSP00000259365","Ensembl_gene"
"73","ENSG00000197721",40,-0.419,0.1235,2.05e-05,0.00563,"CR1L","9606.ENSP00000421736","Ensembl_gene"
"74","ENSG00000229417",44,0.3485,0.1014,2.26e-05,0.00581,"NPM1P25","#N/A","#N/A"
"75","ENSG00000196517",51,-0.5529,0.1731,2.39e-05,0.00606,"SLC6A9","9606.ENSP00000353791","Ensembl_gene"
"76","ENSG00000100558",256,-0.4772,0.1491,2.46e-05,0.00615,"PLEK2","9606.ENSP00000216446","Ensembl_gene"
"77","ENSG00000079393",54,-0.4766,0.1461,2.51e-05,0.00619,"DUSP13","9606.ENSP00000361785","Ensembl_gene"
"78","ENSG00000123405",22985,-0.2651,0.078,2.55e-05,0.00622,"NFE2","9606.ENSP00000439120","Ensembl_gene"
"79","ENSG00000117399",97,-0.4554,0.1409,2.59e-05,0.00623,"CDC20","9606.ENSP00000361540","Ensembl_gene"
"80","ENSG00000069399",5488,-0.2434,0.0713,2.67e-05,0.00634,"BCL3","9606.ENSP00000164227","Ensembl_gene"
