Ensembl_ID,gene_symbol,STRING_id,source,Use
ENSG00000006194,ZNF263,9606.ENSP00000219069,Ensembl_gene,
ENSG00000104889,RNASEH2A,9606.ENSP00000221486,Ensembl_gene,
ENSG00000111737,RAB35,9606.ENSP00000229340,Ensembl_gene,
ENSG00000118777,ABCG2,9606.ENSP00000237612,Ensembl_gene,
ENSG00000187980,PLA2G2C,9606.ENSP00000247992,Ensembl_gene,
ENSG00000086205,FOLH1,9606.ENSP00000256999,Ensembl_gene,
ENSG00000135144,DTX1,9606.ENSP00000257600,Ensembl_gene,
ENSG00000033011,ALG1,9606.ENSP00000262374,Ensembl_gene,
ENSG00000038210,PI4K2B,9606.ENSP00000264864,Ensembl_gene,
ENSG00000122512,PMS2,9606.ENSP00000265849,Ensembl_gene,
ENSG00000143226,FCGR2A,9606.ENSP00000271450,Ensembl_gene,
ENSG00000144015,TRIM43,9606.ENSP00000272395,Ensembl_gene,
ENSG00000144035,NAT8,9606.ENSP00000272425,Ensembl_gene,
ENSG00000055957,ITIH1,9606.ENSP00000273283,Ensembl_gene,
ENSG00000284308,C2orf81,9606.ENSP00000290390,Ensembl_HGNC_Ensembl_ID(supplied_by_Ensembl),
ENSG00000133433,GSTT2B,9606.ENSP00000290765,Ensembl_gene,
ENSG00000142920,AZIN2,9606.ENSP00000294517,Ensembl_gene,
ENSG00000231924,PSG1,9606.ENSP00000308970,Ensembl_gene,
ENSG00000175334,BANF1,9606.ENSP00000310275,Ensembl_gene,
ENSG00000197376,AC089987.1,9606.ENSP00000310632,Ensembl_gene,
ENSG00000063438,AHRR,9606.ENSP00000323816,Ensembl_gene,
ENSG00000197408,CYP2B6,9606.ENSP00000324648,Ensembl_gene,
ENSG00000157326,DHRS4,9606.ENSP00000326219,Ensembl_gene,
ENSG00000183569,SERHL2,9606.ENSP00000331376,Ensembl_gene,
ENSG00000185829,ARL17A,9606.ENSP00000337478,Ensembl_gene,
ENSG00000173598,NUDT4,9606.ENSP00000338352,Ensembl_gene,
ENSG00000139990,DCAF5,9606.ENSP00000341351,Ensembl_gene,
ENSG00000140992,PDPK1,9606.ENSP00000344220,Ensembl_gene,
ENSG00000187514,PTMA,9606.ENSP00000344547,Ensembl_gene,
ENSG00000197927,C2orf27A,9606.ENSP00000347298,Ensembl_gene,
ENSG00000189409,MMP23B,9606.ENSP00000348308,Ensembl_gene,
ENSG00000151655,ITIH2,9606.ENSP00000351190,Ensembl_gene,
ENSG00000196946,ZNF705A,9606.ENSP00000352233,Ensembl_gene,
ENSG00000197153,H3C12,9606.ENSP00000352252,Ensembl_gene,
ENSG00000015479,MATR3,9606.ENSP00000354346,Ensembl_gene,
ENSG00000163444,TMEM183A,9606.ENSP00000356211,Ensembl_gene,
ENSG00000213185,FAM24B,9606.ENSP00000357894,Ensembl_gene,
ENSG00000121933,TMIGD3,9606.ENSP00000358730,Ensembl_gene,
ENSG00000147274,RBMX,9606.ENSP00000359645,Ensembl_gene,
ENSG00000102290,PCDH11X,9606.ENSP00000362186,Ensembl_gene,
ENSG00000172650,AGAP5,9606.ENSP00000363207,Ensembl_gene,
ENSG00000170324,FRMPD2,9606.ENSP00000363317,Ensembl_gene,
ENSG00000204209,DAXX,9606.ENSP00000363668,Ensembl_gene,
ENSG00000175170,FAM182B,9606.ENSP00000365585,Ensembl_gene,
ENSG00000176124,DLEU1,9606.ENSP00000367422,Ensembl_gene,
ENSG00000187522,HSPA14,9606.ENSP00000367623,Ensembl_gene,
ENSG00000205106,LINC02716,9606.ENSP00000368055,Ensembl_gene,
ENSG00000183889,AC138969.1,9606.ENSP00000370908,Ensembl_gene,
ENSG00000103381,CPPED1,9606.ENSP00000371193,Ensembl_gene,
ENSG00000082196,C1QTNF3,9606.ENSP00000371497,Ensembl_gene,
ENSG00000157423,HYDIN,9606.ENSP00000377197,Ensembl_gene,
ENSG00000213923,CSNK1E,9606.ENSP00000380044,Ensembl_gene,
ENSG00000182670,TTC3,9606.ENSP00000381981,Ensembl_gene,
ENSG00000100031,GGT1,9606.ENSP00000383232,Ensembl_gene,
ENSG00000196498,NCOR2,9606.ENSP00000384018,Ensembl_gene,
ENSG00000227345,PARG,9606.ENSP00000384408,Ensembl_gene,
ENSG00000139410,SDSL,9606.ENSP00000385790,Ensembl_gene,
ENSG00000163046,ANKRD30BL,9606.ENSP00000386398,Ensembl_gene,
ENSG00000125144,MT1G,9606.ENSP00000391397,Ensembl_gene,
ENSG00000188234,AGAP4,9606.ENSP00000392513,Ensembl_gene,
ENSG00000105141,CASP14,9606.ENSP00000393417,Ensembl_gene,
ENSG00000228716,DHFR,9606.ENSP00000396308,Ensembl_gene,
ENSG00000118894,EEF2KMT,9606.ENSP00000398502,Ensembl_gene,
ENSG00000248235,AC037459.1,9606.ENSP00000399696,Ensembl_gene,
ENSG00000163682,RPL9,9606.ENSP00000400467,Ensembl_gene,
ENSG00000228696,ARL17B,9606.ENSP00000404247,Ensembl_gene,
ENSG00000010704,HFE,9606.ENSP00000417404,Ensembl_gene,
ENSG00000158301,GPRASP2,9606.ENSP00000437872,Ensembl_gene,
ENSG00000187838,PLSCR3,9606.ENSP00000438547,Ensembl_gene,
ENSG00000285053,TBCE,9606.ENSP00000439170,Ensembl_WikiGene,
ENSG00000163635,ATXN7,9606.ENSP00000439585,Ensembl_gene,
ENSG00000255823,MTRNR2L8,9606.ENSP00000439666,Ensembl_gene,
ENSG00000112096,SOD2,9606.ENSP00000446252,Ensembl_gene,
ENSG00000188626,GOLGA8M,9606.ENSP00000456927,Ensembl_gene,
ENSG00000265241,RBM8A,9606.ENSP00000463058,Ensembl_gene,
ENSG00000141524,TMC6,9606.ENSP00000465261,Ensembl_gene,
ENSG00000137288,UQCC2,9606.ENSP00000476140,Ensembl_gene,
ENSG00000171943,SRGAP2C,9606.ENSP00000478290,Ensembl_gene,
ENSG00000277836,AC141272.1,9606.ENSP00000478725,Ensembl_gene,
ENSG00000162825,NBPF20,9606.ENSP00000479291,Ensembl_gene,
ENSG00000278662,GOLGA6L10,9606.ENSP00000479362,Ensembl_gene,
ENSG00000277761,AC136616.2,9606.ENSP00000479675,Ensembl_gene,
ENSG00000264230,ANXA8L1,9606.ENSP00000480221,Ensembl_gene,
ENSG00000278558,TMEM191B,9606.ENSP00000481358,Ensembl_gene,
ENSG00000276017,AC007325.1,9606.ENSP00000481613,Ensembl_gene,
ENSG00000187951,AC091057.1,9606.ENSP00000481934,Ensembl_gene,
ENSG00000168255,POLR2J3,9606.ENSP00000483328,Ensembl_gene,
ENSG00000279214,AL109659.3,9606.ENSP00000485056,Ensembl_gene,
ENSG00000279119,AC006449.9,9606.ENSP00000485082,Ensembl_gene,
ENSG00000279342,AP000866.6,9606.ENSP00000485115,Ensembl_gene,
ENSG00000279392,AL158801.6,9606.ENSP00000485133,Ensembl_gene,
ENSG00000280360,AC092159.3,9606.ENSP00000485157,Ensembl_gene,
ENSG00000280113,AL357140.3,9606.ENSP00000485186,Ensembl_gene,
ENSG00000280184,AL023806.3,9606.ENSP00000485232,Ensembl_gene,
ENSG00000279859,AC093323.2,9606.ENSP00000485262,Ensembl_gene,
ENSG00000279588,AC087762.2,9606.ENSP00000485301,Ensembl_gene,
ENSG00000279152,AC129492.7,9606.ENSP00000485311,Ensembl_gene,
ENSG00000279096,AL356289.2,9606.ENSP00000485411,Ensembl_gene,
ENSG00000279457,WASH9P,9606.ENSP00000485442,Ensembl_gene,
ENSG00000280273,AF131216.4,9606.ENSP00000485671,Ensembl_gene,
ENSG00000280116,AC231657.2,9606.ENSP00000485675,Ensembl_gene,
ENSG00000274736,CCL23,9606.ENSP00000481357,Ensembl_gene,
ENSG00000157368,IL34,9606.ENSP00000397863,Ensembl_gene,
ENSG00000112759,SLC29A1,9606.ENSP00000377424,Ensembl_gene,
ENSG00000103056,SMPD3,9606.ENSP00000219334,Ensembl_gene,
ENSG00000169397,RNASE3,9606.ENSP00000302324,Ensembl_gene,
ENSG00000174837,ADGRE1,9606.ENSP00000311545,Ensembl_gene,
ENSG00000186204,CYP4F12,9606.ENSP00000448998,Ensembl_gene,
ENSG00000276231,PIK3R6,9606.ENSP00000480157,Ensembl_gene,
ENSG00000184221,OLIG1,9606.ENSP00000371785,Ensembl_gene,
ENSG00000075891,PAX2,9606.ENSP00000359319,Ensembl_gene,
ENSG00000205927,OLIG2,9606.ENSP00000331040,Ensembl_gene,
ENSG00000105366,SIGLEC8,9606.ENSP00000321077,Ensembl_gene,
ENSG00000174950,CD164L2,9606.ENSP00000363139,Ensembl_gene,
ENSG00000091181,IL5RA,9606.ENSP00000412209,Ensembl_gene,
ENSG00000171533,MAP6,9606.ENSP00000307093,Ensembl_gene,
ENSG00000092067,CEBPE,9606.ENSP00000206513,Ensembl_gene,
ENSG00000124313,IQSEC2,9606.ENSP00000379712,Ensembl_gene,
ENSG00000103355,PRSS33,9606.ENSP00000293851,Ensembl_gene,
ENSG00000196391,ZNF774,9606.ENSP00000346348,Ensembl_gene,
ENSG00000161905,ALOX15,9606.ENSP00000458832,Ensembl_gene,
ENSG00000056736,IL17RB,9606.ENSP00000288167,Ensembl_gene,
ENSG00000162174,ASRGL1,9606.ENSP00000400057,Ensembl_gene,
ENSG00000168004,PLAAT5,9606.ENSP00000301790,Ensembl_gene,
ENSG00000156463,SH3RF2,9606.ENSP00000424497,Ensembl_gene,
ENSG00000125740,FOSB,9606.ENSP00000245919,Ensembl_gene,
ENSG00000131773,KHDRBS3,9606.ENSP00000348108,Ensembl_gene,
ENSG00000162390,ACOT11,9606.ENSP00000360366,Ensembl_gene,
ENSG00000183134,PTGDR2,9606.ENSP00000332812,Ensembl_gene,
ENSG00000099377,HSD3B7,9606.ENSP00000297679,Ensembl_gene,
ENSG00000196220,SRGAP3,9606.ENSP00000373347,Ensembl_gene,
ENSG00000113296,THBS4,9606.ENSP00000339730,Ensembl_gene,
ENSG00000160180,TFF3,9606.ENSP00000430690,Ensembl_gene,
ENSG00000182557,SPNS3,9606.ENSP00000347721,Ensembl_gene,
ENSG00000116690,PRG4,9606.ENSP00000399679,Ensembl_gene,
ENSG00000117640,MTFR1L,9606.ENSP00000363419,Ensembl_gene,
ENSG00000100336,APOL4,9606.ENSP00000338260,Ensembl_gene,
ENSG00000132465,JCHAIN,9606.ENSP00000254801,Ensembl_gene,
ENSG00000109099,PMP22,9606.ENSP00000484631,Ensembl_gene,
ENSG00000133328,PLAAT2,9606.ENSP00000255695,Ensembl_gene,
ENSG00000142408,CACNG8,9606.ENSP00000270458,Ensembl_gene,
ENSG00000175591,P2RY2,9606.ENSP00000310305,Ensembl_gene,
ENSG00000122691,TWIST1,9606.ENSP00000242261,Ensembl_gene,
ENSG00000255587,RAB44,9606.ENSP00000481054,Ensembl_gene,
ENSG00000158246,TENT5B,9606.ENSP00000289166,Ensembl_gene,
ENSG00000147852,VLDLR,9606.ENSP00000371532,Ensembl_gene,
ENSG00000154165,GPR15,9606.ENSP00000284311,Ensembl_gene,
ENSG00000133317,LGALS12,9606.ENSP00000339374,Ensembl_gene,
ENSG00000162772,ATF3,9606.ENSP00000344352,Ensembl_gene,
ENSG00000140263,SORD,9606.ENSP00000267814,Ensembl_gene,
ENSG00000000971,CFH,9606.ENSP00000356399,Ensembl_gene,
ENSG00000184451,CCR10,9606.ENSP00000332504,Ensembl_gene,
ENSG00000272325,NUDT3,9606.ENSP00000476119,Ensembl_gene,
ENSG00000145757,SPATA9,9606.ENSP00000274432,Ensembl_gene,
ENSG00000239887,C1orf226,9606.ENSP00000413150,Ensembl_gene,
ENSG00000175352,NRIP3,9606.ENSP00000310205,Ensembl_gene,
ENSG00000145685,LHFPL2,9606.ENSP00000369702,Ensembl_gene,
ENSG00000134489,HRH4,9606.ENSP00000256906,Ensembl_gene,
ENSG00000132872,SYT4,9606.ENSP00000255224,Ensembl_gene,
ENSG00000138623,SEMA7A,9606.ENSP00000261918,Ensembl_gene,
ENSG00000144681,STAC,9606.ENSP00000273183,Ensembl_gene,
ENSG00000144481,TRPM8,9606.ENSP00000323926,Ensembl_gene,
ENSG00000130222,GADD45G,9606.ENSP00000252506,Ensembl_gene,
ENSG00000071242,RPS6KA2,9606.ENSP00000427015,Ensembl_gene,
ENSG00000138395,CDK15,9606.ENSP00000406472,Ensembl_gene,
ENSG00000130561,SAG,9606.ENSP00000386444,Ensembl_gene,
ENSG00000072134,EPN2,9606.ENSP00000320543,Ensembl_gene,
ENSG00000115602,IL1RL1,9606.ENSP00000233954,Ensembl_gene,
ENSG00000154237,LRRK1,9606.ENSP00000373600,Ensembl_gene,
ENSG00000121053,EPX,9606.ENSP00000225371,Ensembl_gene,
ENSG00000196422,PPP1R26,9606.ENSP00000349274,Ensembl_gene,
ENSG00000182240,BACE2,9606.ENSP00000332979,Ensembl_gene,
ENSG00000124205,EDN3,9606.ENSP00000337128,Ensembl_gene,
ENSG00000150551,LYPD1,9606.ENSP00000380605,Ensembl_gene,
ENSG00000165702,GFI1B,9606.ENSP00000344782,Ensembl_gene,
ENSG00000140105,WARS1,9606.ENSP00000347495,Ensembl_gene,
ENSG00000277363,SRCIN1,9606.ENSP00000484715,Ensembl_gene,
ENSG00000135605,TEC,9606.ENSP00000370912,Ensembl_gene,
ENSG00000184992,BRI3BP,9606.ENSP00000340761,Ensembl_gene,
ENSG00000277586,NEFL,9606.ENSP00000482169,Ensembl_gene,
ENSG00000166073,GPR176,9606.ENSP00000453076,Ensembl_gene,
ENSG00000129596,CDO1,9606.ENSP00000250535,Ensembl_gene,
ENSG00000072954,TMEM38A,9606.ENSP00000187762,Ensembl_gene,
ENSG00000120875,DUSP4,9606.ENSP00000240100,Ensembl_gene,
ENSG00000134072,CAMK1,9606.ENSP00000256460,Ensembl_gene,
